,Product,Quantity,Calories,Carbs,Sugar,Fat,Saturated Fat,Trans fat,Protein,Sodium
0,Crispy veg,138,426.7,52.0,6.2,20.6,7.2,0.0,8.4,0.7
1,BK veggie,137,398.2,52.4,4.9,17.2,5.8,0.0,8.6,0.6
2,Veg Chilli Cheese,149,422.6,50.6,5.1,19.3,8.1,0.0,11.6,1.0
3,Paneer king,165,525.8,67.1,6.9,22.4,10.4,0.0,14.0,1.4
4,Veg Supreme,147,374.1,49.2,6.6,16.5,5.0,0.0,11.5,0.6
5,Veg Surprise,159,385.1,51.7,10.5,15.3,8.7,0.1,10.3,1.0
6,Veg Whopper,296,749.0,100.6,8.3,31.4,16.0,0.0,11.0,1.6
7,Masala Whopper Veg,310,753.2,94.7,11.8,33.2,13.5,0.0,19.0,1.7
8,BK Grill,118,332.1,36.7,3.7,13.8,6.2,0.0,15.3,0.8
9,Chicken Tandoori Grill,187,369.1,35.5,9.4,14.6,3.6,0.0,24.1,1.6
10,Chicken Chilli Cheese,155,406.1,47.9,7.3,16.4,7.6,0.0,16.8,0.9
11,Chicken kheema,121,369.1,45.8,3.8,15.3,5.7,0.0,12.1,0.6
12,Crispy chicken,116,345.2,39.0,4.5,15.5,7.1,0.0,12.4,0.6
13,Xtra Long chicken,211,533.5,61.1,9.1,21.7,5.6,0.0,23.4,1.5
14,Chicken whopper,287,662.0,60.3,7.4,38.3,29.8,0.0,33.2,1.4
15,Mutton Whopper,287,624.2,71.0,10.8,30.4,24.3,0.0,12.5,1.2
16,Fiery chicken (South),226,400.0,61.7,7.5,16.2,9.5,0.0,22.9,1.1
17,Fiery Chicken (North & West),226,409.1,61.9,6.6,18.1,8.7,0.0,23.1,1.0
18,Masala Whopper Chicken,302,664.9,68.0,9.1,28.9,11.5,0.0,33.3,1.8
19,Masala Whopper Mutton,302,631.4,69.3,11.3,26.4,15.3,0.0,29.3,1.7
20,Chicken fries 5 pcs,65,206.0,19.9,2.0,9.2,4.4,0.0,10.9,0.5
21,Chicken fries 9 pcs,117,370.7,35.8,3.7,16.6,8.0,0.0,19.6,0.8
22,Chicken wings Fried (2pcs),78,167.5,0.9,0.0,10.3,4.0,0.0,17.7,0.5
23,Chicken wings Fried (4pcs),155,332.8,1.8,0.0,20.5,8.0,0.0,35.2,0.9
24,Chicken wings Fried (8pcs),310,665.7,3.6,0.0,41.1,15.9,0.0,70.4,1.8
25,Chicken wings Fried (15pcs),570,1224.0,6.6,0.0,75.5,29.3,0.0,129.4,3.3
26,Chicken wings Grilled (2pcs),65,167.5,18.1,0.0,4.4,1.3,0.0,13.8,0.5
27,Chicken wings Grilled (4pcs),130,335.0,36.2,0.0,8.8,2.6,0.0,27.7,1.1
28,Chicken wings Grilled (8pcs),260,669.9,72.4,0.0,17.7,5.2,0.0,55.4,2.2
29,Chicken wings Grilled (15pcs),495,1275.5,137.8,0.0,33.6,9.9,0.0,105.4,4.1
30,Fiery Rings 2pcs,40,137.6,18.0,1.1,5.7,2.7,0.0,3.5,0.2
31,Fiery Rings 4pcs,80,275.3,36.0,2.2,11.5,5.4,0.0,7.0,0.5
32,Veg strips 3 pcs,52,136.6,16.7,1.9,6.5,3.1,0.0,2.7,0.2
33,Veg strips 6 pcs,104,273.2,33.5,3.8,5.4,13.1,0.0,6.2,0.0
34,Potato Tots 8 pcs,70,155.9,21.0,1.1,7.1,3.2,0.0,2.6,0.5
35,Fries Regular,74,263.9,37.7,0.9,10.6,4.9,0.0,4.4,0.2
36,Medium Fries,114,406.6,58.1,1.4,6.8,16.3,0.0,7.5,0.3
37,King fries,150,535.0,76.5,1.8,8.9,21.5,0.0,9.9,0.4
38,Cheesy fries,151,460.9,56.2,6.4,22.6,8.7,0.0,8.1,0.6
39,Cheesy Italian fries,191,530.9,63.0,10.0,26.1,26.1,0.0,10.8,1.1
40,Chicken keema Fries,192,541.4,55.9,6.2,28.5,10.0,0.0,15.3,0.9
41,Vanilla Softie,90,121.0,21.5,15.6,2.7,2.0,0.0,2.6,0.0
42,Choco Dip Softie,105,204.7,29.0,16.4,8.5,6.4,0.0,3.0,0.0
43,Chocholate Shake,275,417.3,75.7,9.7,8.5,6.4,0.0,9.5,0.0
44,Mango Shake,275,340.0,57.0,46.8,9.6,7.1,0.0,7.2,0.0
45,Strawberry Shake,275,385.3,67.9,50.1,9.7,7.4,0.0,6.5,0.0
46,BK Sundae - Strawberry,95,146.0,27.5,22.4,3.1,2.4,0.0,2.1,0.0
47,BK Sundae - Chocolate,95,150.1,27.1,22.3,3.2,2.5,0.0,3.2,0.0
48,7up Regular,275,129.0,31.9,31.9,0.0,0.0,0.0,0.0,0.0
49,7up Medium,450 ,211.5,52.7,52.7,0.0,0.0,0.0,0.0,0.0
50,7up King,550 ,258.5,64.4,64.4,0.0,0.0,0.0,0.0,0.0
51,Mirinda Regular,275,152.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0
52,Mirinda Medium,450 ,252.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0
53,Mirinda King,550 ,308.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0
54,Pepsi Regular,275,120.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0
55,Pepsi Medium,450 ,198.0,49.5,49.5,0.0,0.0,0.0,0.0,0.0
56,Pepsi King,550 ,242.0,60.5,60.5,0.0,0.0,0.0,0.0,0.0
57,Pepsi Float,275,165.6,34.8,25.5,2.5,2.0,0.0,2.8,0.0
58,Mirinda Float,275,213.2,33.6,32.9,6.7,4.3,0.0,4.7,0.0
59,Tomato Ketchup,8,14.2,3.5,3.1,0.1,0.0,0.0,0.0,0.0
60,Cookie Shake,350,689.9,118.0,75.6,19.3,11.2,0.1,15.1,0.0
61,Berry Shake,350,569.5,97.3,72.8,16.5,8.1,0.1,17.8,0.0
